coupling,DeltaE1,DeltaE2
0.0,2.9999999999995985,2.999999999999659
0.02,2.938819576064958,2.943552979061188
0.04,2.8753602618714638,2.885140814444604
0.06,2.809752949137163,2.824911937055674
0.08,2.742138555907541,2.763027409257301
0.1,2.6726671056542024,2.699660177357952
0.12,2.6014965457337205,2.634994071523302
0.14,2.5287912869739664,2.569222541325672
0.16,2.454720465795525,2.502547135773497
0.18,2.379455954167323,2.435175761441325
0.2,2.303170168373633,2.3673207788128146
0.22,2.2260337519435005,2.29919702184516
0.24,2.148213227659415,2.231019845430957
0.26,2.069868725177333,2.163003316581488
0.28,1.9911518923380704,2.0953586655105134
0.3,1.9122040891856784,2.0282931017062964
0.32,1.8331549454060507,1.9620090788073377
0.34,1.7541213376096714,1.8967040637324324
0.36,1.6752068171740682,1.8325708343810732
0.38,1.5965014976181386,1.76979830137142
0.4,1.5180823980288558,1.7085728274815963
0.42,1.4400142407066632,1.6490800078924153
0.44,1.3623507206706655,1.5915068779579862
0.46,1.285136304534145,1.5360445349909995
0.48,1.208408677327835,1.482891196910721
0.5,1.1322020369648769,1.4322557728943721
0.52,1.0565515324096957,1.384362086389558
0.54,0.9814992431237464,1.3394539627875268
0.56,0.9071021843748603,1.297801459793046
0.58,0.8334428609964881,1.2597085535867159
0.6,0.7606428221179833,1.2255225521482735
0.62,0.6888793955422798,1.195645306882568
0.64,0.6184051549864549,1.1705457978841345
0.66,0.5495684912507102,1.1507726729761387
0.68,0.4828316952180458,1.1369635858231888
0.7000000000000001,0.41878014019263077,1.129845590021219
0.72,0.3581129724236547,1.130217845618617
0.74,0.3016039802702579,1.1389062166171158
0.76,0.2500245911850598,1.143381372357041
0.78,0.20403313500115416,1.119584640713967
0.8,0.1640546882972984,1.1128467219659157
0.8200000000000001,0.13019259068042288,1.1232095736184178
0.84,0.10220880371885954,1.1499684416217022
0.86,0.07958109367879018,1.191800602190419
0.88,0.061610010947944716,1.2469946857089695
0.9,0.04753343935158938,1.3136946088544121
0.92,0.036616581815124505,1.3900927211749945
0.9400000000000001,0.02820587935553931,1.474548495076597
0.96,0.021751134597465693,1.5656410605797149
0.98,0.016806303707866732,1.662176596818611
1.0,0.013018942008407919,1.7631708426696449
1.02,0.010115308131915413,1.8678211296353169
1.04,0.007885156030930318,1.9754764100910265
1.06,0.00616812559775326,2.085609487003147
1.08,0.004842386589913872,2.19779308207368
1.1,0.0038155464183518006,2.3116800252092915
1.12,0.0030175548486397474,2.426987229610461
1.1400000000000001,0.002395256068396634,2.5434828959320512
1.16,0.0019082479697729582,2.660976362503483
1.18,0.0015257543214488578,2.7793100750422752
1.2,0.0012242701104199227,2.8983532325490913
1.22,0.000985791589940277,3.0179967499964206
1.24,0.0007964860193254708,3.1381492526933386
1.26,0.0006456910303924701,3.2587338788657547
1.28,0.0005251607789062973,3.379685716403941
1.3,0.00042849684790269293,3.500949738610636
1.32,0.000350717580928972,3.6224791339747995
1.34,0.0002879312944870094,3.7442339483614404
1.36,0.00023708759513851874,3.8661799759502813
1.3800000000000001,0.00019578756791105434,3.98828784918431
1.4000000000000001,0.00016213844236290242,4.110532288614863
1.42,0.00013464196851487031,4.23289148183467
1.44,0.00011210840848718817,4.3553465671256575
1.46,9.359004949516248e-05,4.477881202352322
1.48,7.832965273735226e-05,4.600481203692468
1.5,6.572034752139189e-05,4.7231342416432724
1.52,5.527433546603788e-05,4.845829584407916
1.54,4.659839468956761e-05,4.968557880422011
1.56,3.9374644003942194e-05,5.091310973516755
1.58,3.334539665900138e-05,5.214081745270953
1.6,2.8301195783342337e-05,5.336863980162981
1.62,2.407133484894075e-05,5.459652249915358
1.6400000000000001,2.051632664290537e-05,5.582441813965261
1.6600000000000001,1.7521906684692112e-05,5.7052285336464905
1.68,1.4994240103760603e-05,5.828008797973382
1.7,1.28560763812402e-05,5.950779459298708
1.72,1.1043678270539203e-05,6.073537777453431
1.74,9.50432340118823e-06,6.196281371061708
1.76,8.194309785380938e-06,6.3190081751080385
1.78,7.077329229332463e-06,6.441716403797997
1.8,6.12314909176348e-06,6.564404518060854
1.82,5.306547876671175e-06,6.687071197032097
1.84,4.606432270293226e-06,6.809715312950232
1.86,4.005136219120686e-06,6.932335909109057
1.8800000000000001,3.4878216297329345e-06,7.054932180378401
1.9000000000000001,3.0420148107168643e-06,7.177503455992522
1.92,2.6571908762207386e-06,7.300049184394155
1.94,2.3244828355473146e-06,7.422568919713342
1.96,2.036375718716954e-06,7.545062309880024
1.98,1.7865052797105818e-06,7.667529085988704
2.0,1.5694685799871877e-06,7.789969052929322
