couplings,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,gapE0,gapE1,gapE2,gapE3,gapE4,gapE5,gapE6,gapE7,gapE8,elec,magn
0.2,-0.050125568809115124,6.303744171547607,6.303744171547635,6.332498278571081,6.332498454473306,6.332518939154957,6.332817792335137,6.333390878191925,6.333390878191951,6.333390878191978,6.353869740356722,6.35386974035675,6.382623847380196,6.382624023282421,6.382644507964072,6.382943361144252,6.38351644700104,6.383516447001066,6.383516447001093,0.06297246616786774,-0.5025177087170466
0.21,-0.055981388870478,6.212471641128989,6.2124716411290075,6.244513896140621,6.244514148248777,6.244540042622087,6.244918860556848,6.245642270506338,6.245642270506358,6.268628984116714,6.268453029999467,6.268453029999486,6.300495285011099,6.3004955371192555,6.300521431492565,6.300900249427326,6.3016236593768165,6.301623659376836,6.324610372987192,0.07126634630805499,-0.534675249780173
0.22,-0.06224990938409769,6.120397335543349,6.120397335543366,6.155941485810212,6.155941842670139,6.155974299061066,6.156450543651158,6.157355894121333,6.157355894121351,6.157355894121366,6.1826472449274466,6.182647244927463,6.218191395194309,6.218191752054237,6.2182242084451635,6.218700453035256,6.219605803505431,6.2196058035054484,6.2196058035054635,0.08032017643574767,-0.5677256681998587
0.23,-0.06894813790505598,6.027486656821491,6.027486656821514,6.066751744089776,6.066752243605351,6.066792614907261,6.067386938671011,6.068511214548805,6.068511214548861,6.0685112145488675,6.096434794726547,6.09643479472657,6.135699881994832,6.135700381510407,6.135740752812317,6.136335076576067,6.137459352453861,6.137459352453917,6.137459352453924,0.09018885977690524,-0.601711130144668
0.24,-0.0760940902546353,5.933702735579395,5.9337027355793985,5.976913008742644,5.976913700923461,5.976963570718717,5.977700341581336,5.979086665990599,5.979086665990619,5.979086665990627,6.00979682583403,6.009796825834034,6.053007098997279,6.053007791178096,6.053057660973352,6.053794431835971,6.055180756245234,6.055180756245254,6.055180756245262,0.1009320065300395,-0.6366767300727704
0.25,-0.08370687064291264,5.839006218560187,5.839006218560238,5.886390999840918,5.886391950298729,5.886453167313817,5.887361080694265,5.889059587867513,5.889059587867525,5.88905958786755,5.9227130892031,5.9227130892031505,5.970097870483831,5.970098820941642,5.97016003795673,5.971067951337178,5.972766458510426,5.972766458510438,5.9727664585104625,0.11261442775006765,-0.6726707658218632
0.26,-0.09180675995190157,5.743355029217932,5.743355029217951,5.795148525119469,5.795149819512325,5.795224537058432,5.796337331190567,5.79840615680786,5.798406156807869,5.798406156807875,5.835161789169834,5.835161789169852,5.8869552850713704,5.8869565794642265,5.887031297010333,5.888144091142468,5.890212916759761,5.89021291675977,5.8902129167597765,0.12530669227154753,-0.7097450470494406
0.27,-0.10041531321473307,5.646704096937988,5.646704096938017,5.703145143688959,5.703146893363443,5.703237614518564,5.704594908168743,5.707101313734945,5.707101313734949,5.707101313734952,5.747119410152721,5.7471194101527505,5.803560456903692,5.803562206578176,5.803652927733297,5.805010221383476,5.8075166269496785,5.807516626949682,5.807516626949686,0.13908575637395887,-0.7479552421026702
0.28,-0.10955546748771654,5.549005049611545,5.549005049611569,5.610336781001254,5.610339130151898,5.610448759558711,5.612097035247496,5.615118685665646,5.615118685665655,5.615118685665673,5.658560517099262,5.658560517099286,5.7198922484889705,5.719894597639614,5.720004227046427,5.721652502735212,5.724674153153362,5.724674153153371,5.72467415315339,0.15403567768079832,-0.7873612693496104
0.29,-0.11925166150370592,5.450205863198255,5.450205863198302,5.516675286531609,5.5166784212823465,5.516810324574906,5.518804085247082,5.522430501799851,5.522430501799867,5.5224305017998825,5.569457524701961,5.569457524702008,5.635926948035316,5.635930082786053,5.636061986078612,5.638055746750788,5.641682163303558,5.641682163303574,5.641682163303589,0.17024842696594072,-0.828027740170773
0.3,-0.12952996872331007,5.350250460571191,5.350250460571228,5.42210792388026,5.422112083801984,5.422270155832116,5.424673288868853,5.4290075034463845,5.429007503446402,5.480956008872865,5.479780429294501,5.4797804292945385,5.55163789260357,5.5516420525252945,5.5518001245554265,5.554203257592163,5.558537472169695,5.5585374721697125,5.610485977596175,0.1878248142166239,-0.8700244622498285
0.31,-0.14041824567538755,5.24907825027431,5.2490782502743185,5.326576780811284,5.3265822735321535,5.326771016746147,5.329658406550233,5.334818847295808,5.334818847295816,5.33481884729585,5.389496495949698,5.3894964959497065,5.466995026486672,5.4670005192075415,5.467189262421535,5.470076652225621,5.475237092971196,5.475237092971204,5.475237092971238,0.20687554860456148,-0.913427013588826
0.32,-0.15194629780921473,5.1466235937435085,5.146623593743525,5.230018084033582,5.230025303777701,5.230249918296477,5.233709357756007,5.2398320015120685,5.239832001512075,5.300290182912988,5.298569891552723,5.29856989155274,5.3819643818427965,5.3819716015869155,5.382196216105691,5.3856556555652215,5.391778299321283,5.391778299321289,5.452236480722203,0.22752245611807714,-0.9583173999047201
0.33,-0.1641460654831449,5.0428151869407,5.042815186940747,5.132361400131018,5.132370851251864,5.132637338432635,5.136771800819624,5.144012634073623,5.144012634073625,5.1440126340736345,5.206961252423845,5.206961252423892,5.296507465614162,5.296516916735009,5.2967834039157795,5.300917866302769,5.308158699556768,5.3081586995567696,5.308158699556779,0.24989988373738206,-1.0047848108702702
0.34,-0.17705183320597984,4.937575339076377,4.937575339076401,5.033528699785656,5.033541026655814,5.033856308154923,5.038786654999813,5.0473244927544,5.047324492754425,5.047324492754446,5.114627172282356,5.114627172282381,5.210580532991635,5.210592859861794,5.210908141360903,5.215838488205792,5.22437632596038,5.224376325960405,5.224376325960426,0.2741563254964031,-1.052926494216487
0.35000000000000003,-0.19070046585219508,4.830819126967733,4.830819126967736,4.933433257056281,4.933449282050477,4.933821336657126,4.939689554557193,4.949729276088412,4.949729276088432,5.024522471237833,5.021519592819928,5.0215195928199305,5.124133722908476,5.124149747902671,5.124521802509321,5.130390020409387,5.140429741940607,5.140429741940626,5.215222937090028,0.30045631397653005,-1.1028487712483908
0.36,-0.20513167632105972,4.722453398355935,4.722453398355937,4.8319783486589305,4.831999120442427,4.832437141195785,4.839410222241819,4.851186494618292,4.851186494618303,4.931191727786744,4.927585074676994,4.927585074676997,5.03711002497999,5.037130796763487,5.037568817516845,5.044541898562878,5.056318170939352,5.056318170939362,5.136323404107803,0.32898263127394217,-1.1546682231566088
0.37,-0.2203883300451386,4.612375590881374,4.612375590881447,4.7290557095272705,4.729082564461025,4.729597138761143,4.737871746393064,4.751653321681813,4.751653321681818,4.751653321681822,4.832763920926513,4.832763920926586,4.949444039572409,4.949470894506163,4.949985468806282,4.9582600764382025,4.9720416517269515,4.972041651726957,4.97204165172696,0.3599389070294005,-1.2085130850639478
0.38,-0.2365167929301718,4.50047232500963,4.500472325009643,4.62454368987912,4.624578330094432,4.625181645621054,4.634989741586856,4.651084432943578,4.651084432943588,4.651084432943605,4.736989117939802,4.736989117939815,4.861060482809292,4.8610951230246044,4.861698438551226,4.871506534517028,4.88760122587375,4.88760122587376,4.8876012258737775,0.3935526887524095,-1.2645248946228238
0.39,-0.25356733080158633,4.386617718524893,4.386617718524905,4.518305044898465,4.518349637495177,4.51905571665852,4.530671366958658,4.549431833835761,4.549431833835768,4.549431833835772,4.64018504932648,4.640185049326491,4.771872375700052,4.771916968296764,4.772623047460106,4.7842386977602445,4.802999164637347,4.802999164637354,4.802999164637359,0.4300790928658904,-1.3228604549994363
0.4,-0.2715945703443425,4.2706713566899985,4.270671356690007,4.41018427011716,4.4102415729927404,4.41106653820346,4.4248141683094095,4.446644674029911,4.446644674029927,4.4466446740299315,4.542265927034341,4.54226592703435,4.681778840461503,4.681836143337083,4.682661108547803,4.696408738653752,4.718239244374254,4.71823924437427,4.718239244374274,0.46980517569298513,-1.3836941894003432
0.41000000000000003,-0.2906580339937412,4.1524758351133215,4.15247583511335,4.30000437262501,4.300077893596771,4.301040264604265,4.317304698841711,4.342669048024926,4.34266904802494,4.342669048024944,4.443133869107062,4.443133869107091,4.590662406618751,4.5907359275905115,4.591698298598006,4.6079627328354515,4.633327082018667,4.633327082018681,4.633327082018685,0.513055204920258,-1.447220987552919
0.42,-0.31082276445894413,4.031853771039435,4.03185377103946,4.187562939216475,4.187657136195727,4.188778158688148,4.208016857326058,4.237447780908708,4.23744778090874,4.353431542626046,4.342676535498379,4.342676535498404,4.498385703675419,4.498479900654671,4.499600923147092,4.518839621785002,4.548270545367652,4.548270545367684,4.66425430708499,0.5601970680958204,-1.5136596760822008
0.43,-0.33216005881457433,3.9086041524901285,3.9086041524901294,4.072627326377982,4.072747857029573,4.074051857956375,4.096809859262185,4.130920198332667,4.130920198332674,4.130920198332681,4.240764211304703,4.240764211304704,4.404787385192557,4.404907915844148,4.40621191677095,4.42896991807676,4.463080257147242,4.463080257147249,4.463080257147255,0.6116501315573485,-1.5832572879122346
0.44,-0.35474833776659215,3.7824978630521944,3.7824978630522144,3.9549287529597215,3.9550827817470626,3.9565975403509186,3.9835257224621254,4.0230218797383746,4.02302187973838,4.023021879738391,4.137246200818787,4.137246200818806,4.309677090726313,4.309831119513655,4.3113458781175105,4.338274060228717,4.377770217504967,4.377770217504972,4.377770217504984,0.6678949698104285,-1.6562943655918947
0.45,-0.37867418334845,3.6532721835846558,3.653272183584671,3.8341550250960825,3.834351592262945,3.836108704933755,3.86798609756308,3.9136843938969017,3.913684393896914,3.9136843938969195,4.031946366933106,4.031946366933121,4.212829208444533,4.213025775611396,4.214782888282206,4.24666028091153,4.292358577245352,4.2923585772453645,4.29235857724537,0.7294855351608127,-1.7330916170819848
0.46,-0.40403358874553996,3.520624033013605,3.520624033013618,3.709941568247604,3.7101920159468755,3.7122272151549804,3.749988196929672,3.802835015872488,3.8028350158724904,3.9472030483402856,3.924657621759145,3.9246576217591578,4.113975156993144,4.1142256046924155,4.11626080390052,4.154021785675212,4.206868604618029,4.20686860461803,4.351236637085826,0.7970645505021401,-1.8140183609058582
0.47000000000000003,-0.4309334783814064,3.384201674782259,3.384201674782268,3.5818603938075007,3.58217882305517,3.584532181922524,3.629299457160015,3.6903964246149887,3.690396424614993,3.6903964246149963,3.8151351531636655,3.8151351531636744,4.012793872188907,4.013112301436577,4.0154656603039305,4.060232935541421,4.121329902996395,4.1213299029964,4.121329902996402,0.8713832153562663,-1.8995033670643082
0.48,-0.45949357661577334,3.243594596727184,3.2435945967271858,3.4494066121270115,3.4498102986903434,3.4525262076823093,3.5056503864532162,3.576286380530699,3.5762863805307,3.73601436355273,3.7030881733429575,3.7030881733429593,3.908900188742785,3.909303875306117,3.912019784298083,3.9651439630689898,4.035779957146472,4.035779957146473,4.195507940168503,0.9533267641887099,-1.99004894582062
