coupling,10x2,6x2,7x2,8x2,9x2
0.0,1.0000000000000184,0.9999999999999991,1.0000000000000022,1.0000000000000147,1.0000000000000904
0.02,0.9956468425924003,0.9973391577742632,0.9973391577500037,0.9964926409151285,0.9964926409144014
0.04,0.981623131976986,0.9887180132006723,0.9887180114684769,0.9851641845358097,0.9851641844419112
0.06,0.9566917407726778,0.9732367024125779,0.9732366810806448,0.9649287480190751,0.9649287464646683
0.08,0.9200968990464296,0.9501756190358628,0.9501754945134407,0.9350152389107801,0.9350152281241081
0.1,0.8718247204427219,0.9191434220584785,0.9191429514748205,0.895171185362779,0.8951711400918397
0.12,0.8128089869585565,0.8802225105730618,0.8802211916685714,0.8458436351593401,0.8458435002566653
0.14,0.7449942548837251,0.8340683556286492,0.8340654111797101,0.7882724441535979,0.7882721336316763
0.16,0.6711889495345803,0.7819168926156712,0.781911424810862,0.7244373288811345,0.7244367480742847
0.18,0.594708103036105,0.725475243043884,0.7254665407789468,0.6568405494786321,0.6568396357661892
0.2,0.5188926772001347,0.6667116868662853,0.6666995373803781,0.5881697951254171,0.5881685538200995
0.22,0.44664793792211654,0.607600570712015,0.6075853953381809,0.5209362276121609,0.5209347388028758
0.24,0.38012946956238847,0.5498926853487965,0.5498754288180008,0.457188548817861,0.45718694125229764
0.26,0.3206333111096521,0.4949639001154956,0.4949457534889014,0.3983635293250004,0.398361939023554
0.28,0.2686652448136266,0.4437587139971866,0.4437408197900265,0.3452755295050629,0.3452740654254611
0.3,0.22411688030426882,0.3968129906243227,0.3967962415823426,0.2982052352867718,0.29820396358085405
0.32,0.18647268978839215,0.35432457391853,0.35430953687935934,0.2570348730166431,0.25703381844460377
0.34,0.1549956049665175,0.31624121459537213,0.31622815145813793,0.22138682802811527,0.22138598475800633
0.36,0.12886742023669556,0.28234453907984813,0.28233347766053285,0.19074072104367276,0.19074006541284086
0.38,0.107281323538399,0.2523192679940378,0.25231008373669067,0.1645200844695486,0.16451958546073348
0.4,0.08949469601478342,0.22580470806004374,0.2257971944583889,0.1421498601973822,0.14214948633540206
0.42,0.07485345047204855,0.20242996421049278,0.20242388406577946,0.12309044344702326,0.1230901664980826
0.44,0.06279818704885705,0.1818361174362178,0.1818312354792434,0.10685490115519125,0.10685469758290339
0.46,0.05285997375482025,0.16368885754467655,0.1636849584334753,0.09301514766207168,0.09301499876088008
0.48,0.04465103506729024,0.1476845843960523,0.14768148066662642,0.08120146174031849,0.08120135311952738
0.5,0.03785361146881404,0.13355230059914383,0.13354983441917195,0.07109837980919055,0.0710983006444089
0.52,0.0322088312754103,0.12105296027872806,0.12105100178925451,0.062438923545117826,0.062438865820746696
0.54,0.027506519551369003,0.10997740411696315,0.10997584818131703,0.05499834584627955,0.054998303689622816
