couplings,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,gapE0,gapE1,gapE2,gapE3,gapE4,gapE5,gapE6,gapE7,gapE8,elec,magn
0.0,-8.553376642774734e-16,11.999999999999876,11.999999999999957,11.999999999999963,11.999999999999977,15.999999999999865,15.99999999999992,15.999999999999924,15.999999999999932,15.99999999999996,11.999999999999876,11.999999999999957,11.999999999999963,11.999999999999977,15.999999999999865,15.99999999999992,15.999999999999924,15.999999999999932,15.99999999999996,2.735103087045542e-30,7.128071924663431e-17
0.01,-6.734017649116377e-05,11.879872053574546,11.879872053574553,11.879939393806033,11.879939393806078,15.839898988553601,15.839898988754873,15.839898988915907,15.839898988916005,15.839898989318502,11.879939393751037,11.879939393751044,11.880006733982524,11.880006733982569,15.839966328730092,15.839966328931364,15.839966329092398,15.839966329092496,15.839966329494994,6.802060078317667e-05,-0.013468057126025907
0.02,-0.00027211064388456215,11.759482988290209,11.759482988290326,11.759755099841552,11.759755099841556,15.679591814543038,15.67959181786352,15.679591820519928,15.679591820520033,15.679591827161184,11.759755098934093,11.75975509893421,11.760027210485436,11.76002721048544,15.679863925186922,15.679863928507404,15.679863931163812,15.679863931163917,15.679863937805068,0.0002776675965451493,-0.02721124442470174
0.03,-0.0006185661002255325,11.638824716647923,11.638824716647951,11.63944328748729,11.639443287487381,15.519072049084778,15.519072066422396,15.519072080291886,15.519072080291924,15.519072114968166,11.639443282748148,11.639443282748177,11.640061853587516,11.640061853587607,15.519690615185004,15.519690632522622,15.519690646392112,15.51969064639215,15.519690681068392,0.0006377163909590401,-0.04123836664874163
0.04,-0.0011111417560421555,11.517888805350042,11.51788880535008,11.518999962567076,11.518999962567078,15.358332955545844,15.358333012081095,15.358333057305629,15.358333057305682,15.358333170382316,11.518999947106083,11.51899994710612,11.520111104323117,11.520111104323119,15.359444097301886,15.359444153837137,15.35944419906167,15.359444199061723,15.359444312138358,0.00115750317648537,-0.05555862013664553
0.05,-0.0017544631718592002,11.396666456172763,11.396666456172795,11.398420958329115,11.398420958329135,15.197367469157818,15.197367611619866,15.197367725575058,15.197367725575146,15.197368010523967,11.398420919344623,11.398420919344655,11.400175421500975,11.400175421500995,15.199121932329678,15.199122074791726,15.199122188746918,15.199122188747006,15.199122473695827,0.0018469658947112158,-0.07018161543692891
0.06,-0.0025533567568767923,11.275148485522154,11.275148485522157,11.277701925814625,11.277701925814664,15.036168174903239,15.03616847992728,15.036168723900712,15.036168723900747,15.036169334026535,11.277701842279031,11.277701842279034,11.280255282571503,11.280255282571542,15.038721531660116,15.038721836684157,15.038722080657589,15.038722080657625,15.038722690783413,0.0027166886559161964,-0.08511740155714685
0.07,-0.00351286098132997,11.153325302562964,11.153325302562976,11.156838323560574,11.156838323560617,14.874727283494652,14.874727867215602,14.874728334070657,14.874728334070731,14.874729501719617,11.156838163544293,11.156838163544306,11.160351184541904,11.160351184541947,14.878240144475981,14.878240728196932,14.878241195051986,14.87824119505206,14.878242362700947,0.0037779499539297985,-0.10037649197830388
0.08,-0.004638238361554899,11.031186885801876,11.031186885801919,11.035825406583912,11.035825406584044,14.713036605248266,14.71303763429792,14.713038457251661,14.713038457251672,14.713040515838683,11.03582512416343,11.035825124163473,11.040463644945467,11.040463644945598,14.71767484360982,14.717675872659475,14.717676695613216,14.717676695613227,14.717678754200238,0.005042775049582864,-0.11596989258957137
0.09,-0.005934988280731504,10.90872275798812,10.90872275798814,10.914658214585815,10.914658214585833,14.551087521627018,14.551089225722246,14.551090588387083,14.551090588387089,14.55109399762439,10.914657746268851,10.914657746268873,10.920593202866547,10.920593202866565,14.55702250990775,14.557024214002977,14.557025576667815,14.55702557666782,14.557028985905122,0.006523992937958084,-0.13190913171421673
0.1,-0.007408860715875756,10.785921959188705,10.785921959188743,10.79333155930975,10.793331559309767,14.38887095420206,14.38887364054096,14.388875788398076,14.388875788398106,14.388881163162699,10.79333081990458,10.793330819904618,10.800740420025626,10.800740420025642,14.396279814917936,14.396282501256835,14.396284649113952,14.396284649113982,14.396290023878574,0.008235298361873112,-0.1482062924156366
0.11,-0.00906587094744537,10.662773017873194,10.662773017873288,10.67184001098297,10.67184001098299,14.226377330747859,14.226381400458067,14.22638465395613,14.226384653956147,14.226392797297272,10.67183888882064,10.671838888820734,10.680905881930416,10.680905881930435,14.235443201695304,14.235447271405512,14.235450524903575,14.235450524903593,14.235458668244718,0.010191319387333343,-0.16487404729243513
0.12,-0.010912315336369308,10.539263919829416,10.53926391982945,10.550177883758813,10.55017788375886,14.063596548150807,14.063602515072871,14.063607284570379,14.0636072845704,14.06361922543041,10.550176235165786,10.55017623516582,10.561090199095183,10.56109019909523,14.074508863487177,14.07451483040924,14.074519599906749,14.07451959990677,14.07453154076678,0.01240769111696157,-0.18192569599413863
0.13,-0.012954788261368647,10.415382074711838,10.415382074711854,10.428339220074148,10.42833922007415,13.90051793176777,13.900526443895517,13.900533246698712,13.900533246698759,13.900550283006476,10.428336862973206,10.428336862973222,10.441294008335516,10.441294008335518,13.913472720029137,13.913481232156885,13.91348803496008,13.913488034960126,13.913505071267844,0.014901136185660049,-0.19937520571453057
0.14,-0.015200200319003368,10.291114280000409,10.291114280000432,10.306317773823716,10.306317773823721,13.737130190825694,13.737142054770958,13.737151534554595,13.737151534554599,13.737175282447417,10.306314480319413,10.306314480319436,10.32151797414272,10.321517974142726,13.752330391144698,13.752342255089962,13.7523517348736,13.752351734873603,13.752375482766421,0.017689552760182917,-0.21723725494828577
0.15,-0.017655797899917412,10.166446682125775,10.16644668212579,10.184106992245974,10.184106992245988,13.573421369391902,13.573437578300341,13.573450527239949,13.573450527239961,13.573482977285728,10.184102480025693,10.184102480025707,10.201762790145892,10.201762790145906,13.59107716729182,13.59109337620026,13.591106325139867,13.59110632513988,13.591138775185646,0.020792110852277484,-0.2355272808289648
0.16,-0.02032918426611473,10.041364734485134,10.041364734485175,10.061699996400895,10.06169999640096,13.409378792387947,13.409400557790127,13.409417941784119,13.409417941784122,13.409461523208414,10.06169391875125,10.06169391875129,10.08202918066701,10.082029180667076,13.429707976654063,13.429729742056242,13.429747126050234,13.429747126050238,13.42979070747453,0.02422935785521596,-0.2542615304030875
0.17,-0.023228342268161038,9.915853152045386,9.915853152045429,9.939089560110206,9.939089560110231,13.244989006036635,13.245017794197853,13.245040781613636,13.245040781613676,13.245098435691476,9.939081494313548,9.93908149431359,9.962317902378368,9.962317902378393,13.268217348304796,13.268246136466015,13.268269123881797,13.268269123881838,13.268326777959638,0.028023334327784952,-0.27345711623658864
0.18,-0.026361658855602578,9.789895862188763,9.78989586218878,9.81626808721373,9.816268087213775,13.080237712053679,13.080275285466932,13.080305279911835,13.080305279911885,13.080380543867328,9.816257521044365,9.816257521044383,9.842629746069333,9.842629746069377,13.106599370909281,13.106636944322535,13.106666938767438,13.106666938767487,13.10674220272293,0.03219770118036204,-0.2931320767971988
0.19,-0.02973795155147332,9.663475951419727,9.663475951419818,9.693227586983722,9.693227586983818,12.915109694786997,12.915158159557537,12.915196837251093,12.915196837251147,12.915293940221284,9.6932139029712,9.69321390297129,9.722965538535195,9.722965538535291,12.94484764633847,12.94489611110901,12.944934788802566,12.94493478880262,12.945031891772757,0.036777879567222234,-0.31330544211013106
0.2,-0.03336649708054765,9.53657560750081,9.536575607500849,9.569959647515981,9.56995964751601,12.749588740393731,12.749650600378223,12.749699952793497,12.749699952793515,12.749823925664893,9.569942104581358,9.569942104581397,9.60332614459653,9.603326144596558,12.78295523747428,12.783017097458771,12.783066449874045,12.783066449874063,12.783190422745442,0.04179120496078001,-0.33399730524585275
0.21,-0.03725706236267796,9.409176056530947,9.409176056530953,9.446455406900961,9.44645540690097,12.58365754700607,12.583735765705717,12.5837981482525,12.583798148252543,12.583954949474856,9.446433118893625,9.44643311889363,9.483712469263638,9.483712469263647,12.620914609368747,12.620992828068394,12.621055210615177,12.62105521061522,12.621212011837533,0.04726709708078568,-0.355228900269069
0.22,-0.041419938107353546,9.281257494419576,9.28125749441962,9.322705521953552,9.322705521953624,12.417297624673084,12.417395696043249,12.417473883689313,12.417473883689322,12.417670543521492,9.322677432526929,9.322677432526973,9.364125460060905,9.364125460060977,12.458717562780437,12.458815634150602,12.458893821796666,12.458893821796675,12.459090481628845,0.05323724757890052,-0.3770226873586261
0.23,-0.04586597527298106,9.15279901213397,9.152799012134015,9.198700134254707,9.198700134254745,12.250489183678797,12.250611213202987,12.25070846407649,12.250708464076581,12.25095325013456,9.198664987406952,9.198664987406996,9.244566109527689,9.244566109527726,12.296355158951778,12.296477188475968,12.296574439349472,12.296574439349563,12.29681922540754,0.059735827641815585,-0.39940244590080987
