coupling,10x2,11x2,12x2,13x2,7x2,8x2,9x2
0.0,0.9999999999999831,0.9999999999999787,0.9999999999998389,1.000000000000236,1.0000000000000118,1.0000000000000135,1.0000000000000033
0.02,0.9992469180176085,0.999246918017609,0.9991101496206614,0.9991101496206615,0.9995205109811599,0.9993837051368362,0.9993837051368161
0.04,0.9969112288600999,0.9969112288600417,0.9963515328725995,0.9963515328725936,0.9980315642523917,0.9974712392570841,0.9974712392546501
0.06,0.9928859344417466,0.9928859344402998,0.9916012664326068,0.9916012664325558,0.9954602658926566,0.9941722668452229,0.9941722668070415
0.08,0.9870778746128809,0.9870778745994945,0.9847553287078864,0.984755328707266,0.9917394137013572,0.9894058985436605,0.989405898287454
0.1,0.9794124222427156,0.9794124221695505,0.9757344234136446,0.9757344234094174,0.9868100684704133,0.9831042864416242,0.9831042853858097
0.12,0.9698381662426936,0.969838165957857,0.9644897138709587,0.9644897138512014,0.9806242228276134,0.9752162816924954,0.97521627860123
0.14,0.958331269667404,0.9583312687967442,0.9510080120069925,0.9510080119354009,0.9731474158409252,0.9657109296739773,0.9657109229392348
0.16,0.9448991486963505,0.9448991464913428,0.9353159636356827,0.9353159634199237,0.9643611099064273,0.9545805403307901,0.9545805301038095
0.18,0.9295831097361008,0.9295831049848332,0.9174827756002254,0.9174827750341547,0.954264628095409,0.94184305545906,0.9418430501893889
0.2,0.9124596158962544,0.9124596071705424,0.8976210921024127,0.8976210907702762,0.9428764514072799,0.9275434485256416,0.9275434802785739
0.22,0.8936399348356916,0.8936399217009613,0.8758857500138532,0.8758857471511398,0.9302347005767544,0.9117539406601902,0.9117540959734101
0.24,0.8732680433831912,0.8732680298494544,0.8524703177778652,0.8524703121203858,0.9163966769893144,0.8945728976547117,0.8945733735296921
0.26,0.8515168171748011,0.8515168197654879,0.8276015293032312,0.8276015190704811,0.9014374080982068,0.8761223795109667,0.876123577076549
0.28,0.8285826948274736,0.8285827593307965,0.8015319333174155,0.8015319167528676,0.8854472262220732,0.8565444326237929,0.8565471034845473
0.3,0.8046791509598268,0.8046793842833737,0.7745312566708675,0.7745312341287388,0.8685284942156335,0.8359963277154934,0.8360017892091484
0.32,0.7800294172183987,0.7800300437312562,0.7468770975761034,0.7468770771691934,0.8507916648340883,0.8146450367213613,0.8146554713116081
0.34,0.7548589387940934,0.754860393837973,0.7188456029910889,0.7188456134813503,0.832350912148103,0.7926612954353821,0.792680145269752
0.36,0.7293880397627261,0.7293911161007066,0.6907027395431369,0.6907028566225075,0.8133195969322761,0.7702136092795175,0.7702460686262458
0.38,0.7038251995329112,0.7038312645374285,0.6626966508904406,0.6626970463214065,0.7938058230305676,0.7474625287128731,0.7475161237565464
