couplings,var_elec,var_magn,fidel_suscep
0.005,0.020406829257243447,-4.040502808602767,27980.29758450965
0.01,0.06290426501935957,-4.123577114299506,0.13283782133740135
0.015,0.1080608737193623,-4.209889551478774,0.13844867216536608
0.02,0.15606694912562488,-4.299631244169758,0.14440089983925586
0.025,0.20712946087496062,-4.393008122237423,0.15072198001306214
0.03,0.2614738018543114,-4.490242319614187,0.15744223786027828
0.035,0.3193457482647629,-4.591573727653999,0.16459509220653432
0.04,0.3810136618129562,-4.6972617234025815,0.17221743208825663
0.045,0.44677096805021416,-4.807587095479762,0.18035004330986956
0.05,0.5169389502394004,-4.922854193545557,0.18903809603806834
0.055,0.5918699044346244,-5.0433933312725525,0.1983317040454802
0.06,0.6719507088788077,-5.169563477229014,0.20828656648268204
0.065,0.7576068695850514,-5.301755273382775,0.21896470184762903
0.07,0.8493071143360911,-5.440394427165202,0.23043530084392677
0.075,0.9475686196282679,-5.585945530293056,0.24277570349661295
0.08,1.0529629697040692,-5.738916366132513,0.256072537192108
0.085,1.1661229642342164,-5.899862777479276,0.2704230320545149
0.09,1.2877504120204952,-6.0693941785694205,0.2859365577515966
0.095,1.4186250730018697,-6.24817980918812,0.302736411409584
0.1,1.559614940767852,-6.43695584552742,0.32096191333160456
0.105,1.7116880937564616,-6.636533502126686,0.340770863969962
0.11,1.8759263867277869,-6.8478082828366365,0.36234243926195525
0.115,2.0535413065470447,-7.0717705665831625,0.385880605225775
0.12,2.2458923798418864,-7.309517746931685,0.41161816391053535
0.125,2.454508597146985,-7.562268183706482,0.43982155996467726
0.13,2.681113411809697,-7.831377271746136,0.4707966105174144
0.135,2.927653985811138,-8.118355986950757,0.5048953568614893
0.14,3.196335493310451,-8.424892334918958,0.5425242880908514
0.145,3.4896614614546793,-8.752876203669842,0.584154245101173
0.15,3.8104813331771425,-9.104428210524143,0.6303323865826705
0.155,4.162046685635481,-9.481933234732534,0.6816967007692806
0.16,4.548077838814925,-9.888079441823653,0.7389936629734686
0.165,4.972842950228374,-10.325903730697185,0.8030997908054114
0.17,5.441252121700231,-10.798844665158693,0.8750480479217271
0.17500000000000002,5.958969548676413,-11.310804077228276,0.956060271810862
0.18,6.5325473213823395,-11.866218630755398,1.0475871151911367
0.185,7.169585128850569,-12.470142676875263,1.1513573468314813
0.19,7.878920787429126,-13.128343659784157,1.2694387886621183
0.195,8.670857141890767,-13.847411048840407,1.404313696458405
0.2,9.557431327791246,-14.634879127898724,1.5589719459618705
0.20500000000000002,10.552732381134135,-15.499362723534812,1.737025973090686
0.21,11.673272287159053,-16.450702721277054,1.9428519037568264
0.215,12.938413015325667,-17.50011441872446,2.1817614794784093
0.22,14.37084664195799,-18.660325514287717,2.460208853521677
0.225,15.997115306141993,-19.945680529096094,2.7860343914036214
0.23,17.848139340463415,-21.37217285610287,3.168743008949258
0.23500000000000001,19.959690739004348,-22.957341925677067,3.6198053683056295
0.24,22.372698403043515,-24.719938091424012,4.152953186076366
0.245,25.13319239061962,-26.679208606942836,4.784410333381131
0.25,28.29157648196767,-28.85359272164318,5.532952940585026
0.251,30.380281682009986,-30.25859853601928,6.0435194379777295
0.252,31.1205885730694,-30.74895622544546,6.226633742654444
0.253,31.880622459527803,-31.248902284023632,6.415988153474933
0.254,32.66078991976237,-31.758485144424114,6.611764908170909
0.255,33.46148651797162,-32.277735464647044,6.81414566978798
0.256,34.28309414554717,-32.80666414742536,7.023310660888595
0.257,35.12597810556125,-33.3452602241486,7.239437637323748
0.258,35.99048392644507,-33.893488601042215,7.462700846514429
0.259,36.87693389138099,-34.4512876661813,7.693269745196794
0.26,37.78562327010745,-35.01856675604517,7.93130769318231
0.261,38.71681624201636,-35.595203483563566,8.17697041290818
0.262,39.670741500448216,-36.18104093034887,8.430404375872822
0.263,40.647587529350346,-36.775884706675,8.69174496407439
0.264,41.64749754838067,-37.379499889055054,8.961114557443901
0.265,42.670564122257296,-37.99160784245888,9.238620358752627
0.266,43.71682343677748,-38.61188294202119,9.524352138460564
0.267,44.78624924637971,-39.23994920945658,9.818379718923454
0.268,45.878746504622164,-39.87537688536321,10.120750392915518
0.269,46.99414469315495,-40.51767896012844,10.43148606296623
0.27,48.132190873023404,-41.16630769330372,10.75058032772181
0.271,49.29254248878219,-41.82065115454488,11.077995329030493
0.272,50.474759964142144,-42.48002982451156,11.413658495588418
0.273,51.67829913748574,-43.143693299917594,11.757459174207083
0.274,52.90250359519794,-43.81081715212517,12.109245140429508
0.275,54.14659697194186,-44.48049999491395,12.468819048669262
0.276,55.40967529764091,-45.15176082168977,12.835934837192793
0.277,56.69069948332068,-45.82353667868007,13.210294141125374
0.278,57.98848805068419,-46.49468074657244,13.591542746621544
0.279,59.3017102208821,-47.16396090531601,13.979267146986631
0.28,60.62887949249601,-47.83005886438292,14.372991251433513
0.281,61.96834784803767,-48.491569940429756,14.772173318975932
0.28200000000000003,63.31830074095451,-49.14700356917518,15.176203214719465
0.28300000000000003,64.67675302311798,-49.79478463674254,15.584399999933895
0.28400000000000003,66.04154598162364,-50.43325571626141,15.996010014178736
0.28500000000000003,67.41034565745346,-51.06068029041828,16.41020546897272
0.28600000000000003,68.78064262281829,-51.67524703768396,16.826083768293362
0.28700000000000003,70.14975339188106,-52.27507525071568,17.24266738793247
0.28800000000000003,71.51482363299782,-52.8582214430981,17.65890474349801
0.28900000000000003,72.87283334566557,-53.42268719309202,18.07367187376115
0.29000000000000004,74.22060414392944,-53.9664282481302,18.485775117389473
0.29100000000000004,75.55480877525105,-54.48736490381906,18.893954812610588
