couplings,var_elec,var_magn,fidel_suscep
0.005,0.006802060078317667,-1.3468057126025978,0.02834191873845789
0.01,0.020964699576197263,-1.3743187298675834,0.029511522789504818
0.015,0.03600487944138908,-1.402712222403989,0.030743151942715038
0.02,0.05197867855263298,-1.43202534879039,0.03204086364155373
0.025,0.06894627182258457,-1.462299530028338,0.033409032589029795
0.03,0.08697227612049811,-1.4935786120217946,0.03485238009341444
0.035,0.10612612980136012,-1.5259090421157016,0.036376011087875665
0.04,0.12648250956530663,-1.5593400611267496,0.0379854408850217
0.045,0.14812178883752206,-1.5939239124645366,0.03968664253505292
0.05,0.17113054239150263,-1.6297160701419857,0.04148608968091048
0.055,0.19560210254602325,-1.6667754876798537,0.04339080266868033
0.06,0.22163717296282287,-1.7051648701703512,0.045408406375404
0.065,0.24934450686984758,-1.7449509720391927,0.047547188962926555
0.07,0.2788416574522866,-1.7862049233755184,0.049816173215165495
0.075,0.3102558092094572,-1.8290025880679053,0.052225186914072665
0.08,0.3437247002938474,-1.8734249574122714,0.054784956648197096
0.085,0.37939764725689884,-1.9195585833501099,0.05750719662988814
0.09,0.41743668525770955,-1.9674960560610226,0.06040471945746952
0.095,0.458017838686019,-2.0173365312932217,0.06349155832859006
0.1,0.5013325393557772,-2.069186313572167,0.06678310236126929
0.105,0.5475892120005679,-2.1231595023216294,0.0702962531762064
0.11,0.5970150498114836,-2.1793787089557073,0.07404960021135833
0.115,0.649858006291506,-2.237975854218375,0.07806362097950871
0.12,0.7063890338527687,-2.299093056458694,0.08236090748354412
0.125,0.766904604485421,-2.3628836232071717,0.08696642271315952
0.13,0.8317295536233164,-2.4295131603890887,0.09190780121207422
0.135,0.9012202952144782,-2.4991608158471768,0.0972156853293511
0.14,0.9757684641997352,-2.5720206766394393,0.10292411523855108
0.145,1.0558050523963824,-2.648303342886761,0.1090709759891994
0.15,1.1418051155301372,-2.7282377049507955,0.11569851627273785
0.155,1.2342931432984279,-2.8120729555011854,0.12285394734804496
0.16,1.3338492014452767,-2.9000808738638835,0.13059013927147034
0.165,1.4411159755744212,-2.9925584270738854,0.13896643080837015
0.17,1.5568068717334695,-3.089830740693264,0.14804957837180555
0.17500000000000002,1.6817153597991144,-3.192254503030076,0.15791486385218023
0.18,1.8167257838631214,-3.3002218794527294,0.16864740859594873
0.185,1.962825911059755,-3.414165029702029,0.18034371092033175
0.19,2.121121549085648,-3.534561341355588,0.1931134868959035
0.195,2.292853636299378,-3.6619395180427308,0.20708184786671097
0.2,2.4794183010686677,-3.796886693171827,0.22239192192106416
0.20500000000000002,2.6823905047511842,-3.9400567809756613,0.23920798885814543
0.21,2.9035520330586784,-4.092180329257552,0.2577192899019577
0.215,3.1449247941555543,-4.254076206307463,0.2781446422764734
0.22,3.4088106330406234,-4.4266655431576005,0.30073809079499125
0.225,3.697839200541561,-4.610988469011708,0.3257958625276085
0.23,4.015025849482658,-4.80822433245522,0.3536649783144775
0.23500000000000001,4.363842109577927,-5.019716308272444,0.38475400814146554
0.24,4.748302072612198,-5.24700156995688,0.41954659795133176
0.245,5.173069081613075,-5.491848590881139,0.4586186371625527
0.25,5.643588580695786,-5.7563036658372315,0.5026602484766682
0.255,6.166255021823947,-6.042749483112048,0.5525042301042521
0.26,6.748623604605147,-6.353979620955469,0.6091632647079229
0.265,7.399681746584668,-6.6932943354635,0.6738791609502102
0.27,8.130201163654053,-7.064625171372312,0.7481888709116901
0.275,8.953200253372342,-7.472699107399865,0.8340142324820494
0.28,9.884559662648531,-7.923257687382505,0.9337858304031467
0.28500000000000003,10.94385398404353,-8.423353758514343,1.050616754728911
0.29,12.155493574132027,-8.981759455672126,1.188550729746945
0.295,13.550319411597311,-9.609536280463029,1.3529232655108312
0.3,15.16787246477703,-10.32084546833313,1.5508982845304577
0.305,17.05968765055768,-11.134121063795622,1.7922833861732583
0.31,19.294177342134173,-12.07380097430345,2.090798316087407
0.315,21.964035885465343,-13.172933515609829,2.466099681619104
0.32,25.197734821823815,-14.477185852940831,2.9471021978686456
0.325,29.17781248891795,-16.051143774669303,3.5775869055518115
0.326,31.981646246396185,-17.144945598888334,4.048055118424784
0.327,33.02246719943388,-17.54754951124647,4.227228413459646
0.328,34.11513203272217,-17.968644492025494,4.418208310940937
0.329,35.263311335226945,-18.409504410426198,4.622032545961131
0.33,36.47100738831563,-18.871514735176326,4.839850367845937
0.331,37.74258937649685,-19.35618388505465,5.072936454369455
0.332,39.08283274173537,-19.865155842616595,5.322706674072975
0.333,40.49696319494119,-20.40022417612362,5.590736041442916
0.334,41.99070596015294,-20.963347629563625,5.878779135158168
0.335,43.570340895432174,-21.556667457203176,6.188793495987088
0.336,45.24276420818803,-22.182526695361894,6.5229663837006475
0.337,47.01555756245508,-22.843491581616895,6.883745277100456
0.338,48.89706545937518,-23.542375347656886,7.273872822414033
0.339,50.89648185912039,-24.282264627686768,7.696426874491655
0.34,53.02394709869946,-25.066548736361916,8.154866353484092
0.341,55.290656242704415,-25.898952078075,8.653083808307011
0.342,57.7089800756418,-26.783569950244534,9.195465707587841
0.343,60.292599995908915,-27.72490799204894,9.7869613800945
0.34400000000000003,63.0566580911171,-28.72792550428069,10.43316222239979
0.34500000000000003,66.0179236414739,-29.798082815849032,11.14039214280759
0.34600000000000003,69.19497719009765,-30.941392791463656,11.915810969708993
0.34700000000000003,72.60841309895521,-32.16447644906092,12.767532575069204
0.34800000000000003,76.28106113200543,-33.474622469633815,13.704759036780331
0.349,80.23822700718857,-34.87985011396146,14.737933063286542
0.35,84.50795095463263,-36.38897468403509,15.87890981682102
0.351,89.12128199437001,-38.0116741437044,17.141149849708594
0.352,94.11256376191615,-39.75855480095044,18.539933991501396
0.353,99.51972507020548,-41.64121299172404,20.0926001193077
0.354,105.3845647682169,-43.67228842561351,21.818800630841125
0.355,111.75301553727647,-45.86550316860545,23.74077725529551
0.356,118.6753646951474,-48.235678048813966,25.883646791252392
0.357,126.20640142908657,-50.79871546706634,28.27568709556771
0.358,134.40544867702175,-53.57153406064303,30.9486063877152
0.359,143.33622363040843,-56.57193630382235,33.93777067608378
0.36,153.06645311589392,-59.81838487353736,37.282352648545974
0.361,163.66714868890926,-63.329657492376015,41.02535082245354
0.362,175.21142131282625,-67.1243431753949,45.21340852141473
0.363,187.77268793529328,-71.22013582247659,49.89633964570011
0.364,201.42209428917894,-75.63287480869224,55.1262410077241
0.365,216.2249539704362,-80.37527815991956,60.95604183966289
0.366,232.23599020237873,-85.455314442242,67.43731368687419
0.367,249.4931743617872,-90.87416811653829,74.61714376118239
0.368,268.0099994689751,-96.6237744723987,82.53387342801841
0.369,287.7661271530962,-102.68394006246541,91.21153676561252
0.37,308.6965259007452,-109.01912884217813,100.6529206776031
0.371,330.6794983462217,-115.57508776329274,110.83133505386313
0.372,353.52438820797937,-122.27560911408631,121.68144637197113
0.373,376.96025279585723,-129.0198730515869,133.08990269020669
0.374,400.62733445498964,-135.6809621418752,144.88694071800558
0.375,424.0736567078903,-142.10625296915623,156.84064867584345
0.376,446.7593370750965,-148.12041366920457,168.6559332369995
0.377,468.0710304289355,-153.5316074163234,179.98031606436766
0.378,487.34808366764383,-158.14116790081098,190.41825417678515
0.379,503.92038703737853,-161.7564618620378,199.55459114658908
0.38,517.1556594010904,-164.20594638966153,206.9860220616431
0.381,526.5114101057349,-165.354713640366,212.35738178596395
0.382,531.5847526855299,-165.11830875964313,215.39770373258207
0.383,532.1523657877444,-163.4725251228842,215.95002886811906
